date,name,code,open,high,low,close,volume,turnover,turnover_rate
2017-11-01,佳力图,603912,3.11,3.86,3.11,3.86,96,117723.0,0.03
2017-11-02,佳力图,603912,4.31,4.31,4.31,4.31,45,61560.0,0.01
2017-11-03,佳力图,603912,4.81,4.81,4.81,4.81,80,120596.0,0.02
2017-11-06,佳力图,603912,5.36,5.36,5.36,5.36,83,137448.0,0.02
2017-11-07,佳力图,603912,5.97,5.97,5.97,5.97,76,138472.0,0.02
2017-11-08,佳力图,603912,6.63,6.63,6.63,6.63,460,922622.0,0.12
2017-11-09,佳力图,603912,7.36,7.36,7.36,7.36,335,738340.0,0.09
2017-11-10,佳力图,603912,8.16,8.16,8.16,8.16,1501,3639054.0,0.41
2017-11-13,佳力图,603912,9.04,9.04,9.04,9.04,1814,4836604.0,0.49
2017-11-14,佳力图,603912,10.02,10.02,10.02,10.02,2130,6248581.0,0.58
2017-11-15,佳力图,603912,11.08,11.08,11.08,11.08,3675,11854647.0,0.99
2017-11-16,佳力图,603912,12.26,12.26,10.65,10.85,237407,788200672.0,64.16
2017-11-17,佳力图,603912,10.26,10.44,9.7,9.7,138941,403132640.0,37.55
2017-11-20,佳力图,603912,8.96,9.12,8.66,8.66,123942,319619984.0,33.5
2017-11-21,佳力图,603912,8.69,9.6,8.19,9.6,124966,327401632.0,33.77
2017-11-22,佳力图,603912,9.89,10.5,9.71,9.8,193912,572070784.0,52.41
2017-11-23,佳力图,603912,9.01,9.54,8.75,8.75,143709,386553664.0,38.84
2017-11-24,佳力图,603912,8.43,9.7,8.31,9.7,94553,258693538.0,25.55
2017-11-27,佳力图,603912,9.7,10.33,9.21,9.79,186209,537311792.0,50.33
2017-11-28,佳力图,603912,9.26,10.39,9.02,10.14,176996,516112688.0,47.84
2017-11-29,佳力图,603912,9.9,10.52,9.61,10.41,176653,523651024.0,47.74
2017-11-30,佳力图,603912,10.17,11.25,10.06,10.83,180890,560455360.0,48.89
2017-12-01,佳力图,603912,10.41,10.76,10.08,10.12,143439,436223776.0,38.77
2017-12-04,佳力图,603912,9.57,9.83,9.04,9.04,102400,279404800.0,27.68
2017-12-05,佳力图,603912,8.58,8.82,8.07,8.25,122911,306135120.0,33.22
2017-12-06,佳力图,603912,8.26,8.53,8.09,8.47,92529,229044974.0,25.01
2017-12-07,佳力图,603912,8.34,8.75,8.01,8.4,106751,264850753.0,28.85
2017-12-08,佳力图,603912,8.2,9.17,8.15,8.64,128167,329816688.0,34.64
2017-12-11,佳力图,603912,8.8,9.53,8.77,9.45,150260,406619104.0,40.61
2017-12-12,佳力图,603912,9.06,9.23,8.64,8.73,123853,327589136.0,33.47
2017-12-13,佳力图,603912,8.5,9.21,8.5,9.03,107732,285486880.0,29.12
2017-12-14,佳力图,603912,8.93,9.24,8.73,9.11,97758,258915602.0,26.42
2017-12-15,佳力图,603912,8.99,9.53,8.95,9.39,132512,362192336.0,35.81
2017-12-18,佳力图,603912,9.43,9.64,8.88,9.09,113050,310172544.0,30.55
2017-12-19,佳力图,603912,8.99,9.46,8.73,9.44,100866,268989856.0,27.26
2017-12-20,佳力图,603912,9.24,9.28,8.91,8.94,72605,195044767.0,19.62
2017-12-21,佳力图,603912,8.8,9.3,8.5,9.02,91124,240651697.0,24.63
2017-12-22,佳力图,603912,8.92,9.12,8.66,8.67,68370,179117949.0,18.48
2017-12-25,佳力图,603912,8.5,8.62,8.18,8.48,67122,167288248.0,18.14
2017-12-26,佳力图,603912,8.49,9.12,8.47,8.88,95395,249030992.0,25.78
2017-12-27,佳力图,603912,8.82,9.35,8.8,9.12,121382,326131456.0,32.81
2017-12-28,佳力图,603912,8.92,10.07,8.62,9.75,176581,490435728.0,47.72
2017-12-29,佳力图,603912,9.58,10.04,9.49,9.62,137196,391662016.0,37.08
2018-01-02,佳力图,603912,9.64,10.02,9.5,9.85,101630,292087680.0,27.47
2018-01-03,佳力图,603912,9.64,9.75,9.17,9.47,102690,285849600.0,27.75
2018-01-04,佳力图,603912,9.35,9.64,9.26,9.49,74737,208114681.0,20.2
2018-01-05,佳力图,603912,9.46,9.58,8.82,8.84,92471,249083246.0,24.99
2018-01-08,佳力图,603912,8.78,9.02,8.59,8.94,66353,173011166.0,17.93
2018-01-09,佳力图,603912,8.98,9.31,8.82,9.23,74653,200067831.0,20.18
2018-01-10,佳力图,603912,9.13,9.16,8.64,8.8,62324,164718181.0,16.84
2018-01-11,佳力图,603912,8.8,9.75,8.66,9.75,81586,229376402.0,22.05
2018-01-12,佳力图,603912,10.26,10.77,10.08,10.16,213470,646759184.0,57.69
2018-01-15,佳力图,603912,9.7,10.62,9.13,10.47,167257,476121696.0,45.2
2018-01-16,佳力图,603912,10.14,11.17,10.03,10.45,178072,552351312.0,48.13
2018-01-17,佳力图,603912,10.84,11.56,10.84,11.56,68063,224454529.0,18.4
2018-01-18,佳力图,603912,12.17,12.17,10.34,10.44,184278,591486240.0,49.8
2018-01-19,佳力图,603912,9.96,10.68,9.83,10.02,130813,391463552.0,35.35
2018-01-22,佳力图,603912,9.9,9.9,9.28,9.41,94395,263965681.0,25.51
2018-01-23,佳力图,603912,9.4,9.67,9.27,9.49,60719,169492652.0,16.41
2018-01-24,佳力图,603912,9.44,10.0,9.44,9.9,88027,251243657.0,23.79
2018-01-25,佳力图,603912,9.79,10.19,9.72,9.85,93918,274325232.0,25.38
2018-01-26,佳力图,603912,9.73,10.04,9.41,9.45,70126,199499026.0,18.95
2018-01-29,佳力图,603912,9.47,9.89,9.4,9.8,71969,204546575.0,19.45
2018-01-30,佳力图,603912,9.71,10.04,9.5,10.01,66890,190975531.0,18.08
2018-01-31,佳力图,603912,9.9,10.35,9.76,10.1,117626,347235376.0,31.79
2018-02-01,佳力图,603912,9.75,10.0,9.02,9.02,80597,227590078.0,21.78
2018-02-02,佳力图,603912,8.34,8.95,8.25,8.5,73234,185076962.0,19.79
2018-02-05,佳力图,603912,8.23,8.73,7.71,7.92,57347,141041569.0,15.5
2018-02-06,佳力图,603912,7.53,7.73,7.06,7.06,57978,127675691.0,15.67
2018-02-07,佳力图,603912,7.26,7.33,6.43,7.06,83784,175039435.0,22.64
2018-02-08,佳力图,603912,6.93,7.4,6.87,7.16,54076,116945929.0,14.62
2018-02-09,佳力图,603912,6.76,6.94,6.47,6.52,46066,93410406.0,12.45
2018-02-12,佳力图,603912,6.72,6.86,6.59,6.74,35105,71323975.0,9.49
2018-02-13,佳力图,603912,6.82,6.89,6.66,6.67,38647,79009517.0,10.45
2018-02-14,佳力图,603912,6.69,6.82,6.55,6.58,23125,46481223.0,6.25
2018-02-22,佳力图,603912,6.71,6.89,6.62,6.83,29954,61228586.0,8.1
2018-02-23,佳力图,603912,6.83,7.43,6.78,7.26,52985,112421260.0,14.32
2018-02-26,佳力图,603912,7.35,7.69,7.24,7.57,59818,134323024.0,16.17
2018-02-27,佳力图,603912,7.49,7.78,7.42,7.57,56808,129141988.0,15.35
2018-02-28,佳力图,603912,7.42,7.51,7.25,7.36,39788,87815472.0,10.75
2018-03-01,佳力图,603912,7.31,7.55,7.19,7.51,35619,79693644.0,9.63
2018-03-02,佳力图,603912,7.42,7.71,7.35,7.36,39783,89175085.0,10.75
2018-03-05,佳力图,603912,7.32,7.67,7.32,7.65,37312,83787306.0,10.08
2018-03-06,佳力图,603912,7.65,8.1,7.58,7.82,76151,178659165.0,20.58
2018-03-07,佳力图,603912,7.72,7.85,7.64,7.8,46078,106507564.0,12.45
2018-03-08,佳力图,603912,7.8,8.07,7.74,8.07,62518,147892734.0,16.9
2018-03-09,佳力图,603912,8.05,8.53,7.98,8.48,83257,204485412.0,22.5
2018-03-12,佳力图,603912,8.61,8.69,8.31,8.44,76003,190644532.0,20.54
2018-03-13,佳力图,603912,8.35,8.39,8.01,8.07,56367,137151103.0,15.23
2018-03-14,佳力图,603912,8.0,8.17,7.93,7.95,38875,93018536.0,10.51
2018-03-15,佳力图,603912,7.72,7.77,7.16,7.43,60746,135895350.0,16.42
2018-03-16,佳力图,603912,7.37,7.54,7.31,7.34,27589,61434233.0,7.46
2018-03-19,佳力图,603912,7.47,8.14,7.39,8.14,87590,209067911.0,23.67
2018-03-20,佳力图,603912,8.1,8.58,8.03,8.42,128897,315543408.0,34.84
2018-03-21,佳力图,603912,8.27,8.8,8.17,8.39,123688,310541360.0,33.43
2018-03-22,佳力图,603912,8.33,8.58,8.25,8.34,68860,171535354.0,18.61
2018-03-23,佳力图,603912,7.8,8.02,7.44,7.44,62593,143049590.0,16.92
2018-03-26,佳力图,603912,7.09,7.7,6.74,7.69,54712,120183470.0,14.79
2018-03-27,佳力图,603912,7.82,8.25,7.72,8.23,74990,179721559.0,20.27
2018-03-28,佳力图,603912,8.08,8.53,7.96,8.03,74691,182514791.0,20.19
2018-03-29,佳力图,603912,8.1,8.33,8.01,8.3,61651,150135046.0,16.66
2018-03-30,佳力图,603912,8.43,8.58,8.31,8.46,79461,198837573.0,21.48
2018-04-02,佳力图,603912,8.62,8.69,8.32,8.47,74754,188180095.0,20.2
2018-04-03,佳力图,603912,8.78,9.39,8.62,9.39,68694,183872941.0,18.57
2018-04-04,佳力图,603912,10.08,10.4,9.64,9.69,213425,630747456.0,57.68
2018-04-09,佳力图,603912,9.26,10.13,9.15,9.71,141935,397884288.0,38.36
2018-04-10,佳力图,603912,9.51,9.61,8.81,9.09,105524,285822736.0,28.52
2018-04-11,佳力图,603912,9.1,9.42,9.1,9.17,80855,220066961.0,21.85
2018-04-12,佳力图,603912,9.13,9.47,9.06,9.21,69443,189784774.0,18.77
2018-04-13,佳力图,603912,9.47,9.59,9.02,9.1,52958,144402444.0,14.31
2018-04-16,佳力图,603912,8.93,9.05,8.67,8.84,49830,130153684.0,13.47
2018-04-17,佳力图,603912,9.05,9.51,8.81,8.85,70648,191116451.0,19.09
2018-04-18,佳力图,603912,8.73,9.09,8.07,9.07,74021,189773966.0,20.01
2018-04-19,佳力图,603912,8.82,9.07,8.82,8.85,51153,135090065.0,13.83
2018-04-20,佳力图,603912,8.78,8.78,8.03,8.12,48764,121426181.0,13.18
2018-04-23,佳力图,603912,8.15,8.4,8.06,8.29,30108,73527595.0,8.14
2018-04-24,佳力图,603912,8.29,8.73,8.22,8.6,39702,100261401.0,10.73
2018-04-25,佳力图,603912,8.56,9.53,8.49,9.08,99404,267961997.0,26.87
2018-04-26,佳力图,603912,9.03,9.05,8.58,8.63,60799,158244663.0,16.43
2018-04-27,佳力图,603912,8.74,8.95,8.64,8.82,45151,117549223.0,12.2
2018-05-02,佳力图,603912,8.82,8.89,8.44,8.54,33214,84625066.0,8.98
2018-05-03,佳力图,603912,8.51,8.84,8.26,8.84,44206,112258216.0,11.95
2018-05-04,佳力图,603912,8.81,8.93,8.66,8.69,34935,90594949.0,9.44
2018-05-07,佳力图,603912,8.75,9.12,8.75,9.06,54962,145529383.0,14.85
2018-05-08,佳力图,603912,9.07,9.16,8.94,9.15,48090,128197160.0,13.0
2018-05-09,佳力图,603912,9.13,9.19,8.99,9.14,38796,103948919.0,10.49
2018-05-10,佳力图,603912,9.14,9.35,9.09,9.34,67186,182817464.0,18.16
2018-05-11,佳力图,603912,9.31,9.31,8.9,8.93,48329,129212440.0,13.06
2018-05-14,佳力图,603912,8.85,9.2,8.77,8.8,39530,104913671.0,10.68
2018-05-15,佳力图,603912,8.84,8.98,8.62,8.95,38943,100797702.0,10.53
2018-05-16,佳力图,603912,8.87,8.94,8.7,8.77,27711,72153950.0,7.49
2018-05-17,佳力图,603912,8.82,9.12,8.72,9.04,48857,129402855.0,13.2
2018-05-18,佳力图,603912,8.98,9.35,8.93,9.32,75900,205365359.0,20.51
2018-05-21,佳力图,603912,9.23,9.59,9.19,9.5,80815,224247584.0,21.84
2018-05-22,佳力图,603912,9.53,9.89,9.32,9.66,93444,262811709.0,25.26
2018-05-23,佳力图,603912,9.52,9.6,9.26,9.31,58979,163679643.0,15.94
2018-05-24,佳力图,603912,9.35,9.79,9.32,9.63,76690,216715357.0,20.73
2018-05-25,佳力图,603912,9.46,10.15,9.42,9.99,112606,325387856.0,30.43
2018-05-28,佳力图,603912,10.01,10.58,9.63,9.74,110398,322756144.0,29.84
2018-05-29,佳力图,603912,9.78,10.29,9.62,9.8,72338,149305816.0,13.96
2018-05-30,佳力图,603912,9.06,9.06,8.76,8.76,85370,157970905.0,16.48
2018-05-31,佳力图,603912,8.68,8.96,8.31,8.94,97966,177356365.0,18.91
2018-06-01,佳力图,603912,8.84,9.41,8.72,8.94,82959,156634465.0,16.02
2018-06-04,佳力图,603912,8.91,9.25,8.87,9.01,60396,113980805.0,11.66
2018-06-05,佳力图,603912,8.93,9.33,8.93,9.29,79652,152437947.0,15.38
2018-06-06,佳力图,603912,9.26,9.6,9.16,9.57,96449,187589866.0,18.62
2018-06-07,佳力图,603912,9.62,9.71,9.03,9.05,78432,151690200.0,15.14
2018-06-08,佳力图,603912,9.09,9.72,9.06,9.38,103531,202760042.0,19.99
2018-06-11,佳力图,603912,9.2,9.22,8.39,8.96,74269,137219200.0,14.34
2018-06-12,佳力图,603912,8.85,9.06,8.43,8.81,59659,109190779.0,11.52
2018-06-13,佳力图,603912,8.66,9.06,8.51,8.68,58777,108085410.0,11.35
2018-06-14,佳力图,603912,8.46,8.79,8.42,8.58,41216,74271913.0,7.96
2018-06-15,佳力图,603912,8.65,8.7,7.73,7.89,60123,102705761.0,11.61
2018-06-19,佳力图,603912,7.58,7.68,7.05,7.05,42245,65392014.0,8.16
2018-06-20,佳力图,603912,6.89,7.42,6.89,7.2,43496,66010567.0,8.4
2018-06-21,佳力图,603912,7.17,7.46,6.87,6.91,43546,66059729.0,8.41
2018-06-22,佳力图,603912,6.71,7.17,6.57,7.08,35903,53473160.0,6.93
2018-06-25,佳力图,603912,7.21,7.35,7.13,7.16,35596,54333516.0,6.87
2018-06-26,佳力图,603912,6.99,7.41,6.87,7.4,49121,75663758.0,9.48
2018-06-27,佳力图,603912,7.57,7.68,7.37,7.4,48426,76604202.0,9.35
2018-06-28,佳力图,603912,7.31,7.54,7.17,7.18,36928,57587181.0,7.13
2018-06-29,佳力图,603912,7.25,7.63,7.16,7.52,48968,77136847.0,9.45
2018-07-02,佳力图,603912,7.51,7.63,7.07,7.3,41894,65439998.0,8.09
2018-07-03,佳力图,603912,7.34,7.63,7.21,7.6,53317,84118549.0,10.29
2018-07-04,佳力图,603912,7.55,7.62,7.11,7.19,49430,77071415.0,9.54
2018-07-05,佳力图,603912,7.12,7.3,6.84,6.88,36735,55252782.0,7.09
2018-07-06,佳力图,603912,6.88,7.39,6.77,7.14,50263,75630118.0,9.7
2018-07-09,佳力图,603912,7.19,7.43,7.19,7.37,40320,62402720.0,7.78
2018-07-10,佳力图,603912,7.41,7.57,7.28,7.55,48392,75913041.0,9.34
2018-07-11,佳力图,603912,7.39,7.39,6.97,7.23,52495,80107559.0,10.13
2018-07-12,佳力图,603912,7.51,7.84,7.44,7.53,62153,99096225.0,12.0
2018-07-13,佳力图,603912,7.44,8.24,7.44,7.73,90597,148901501.0,17.49
2018-07-16,佳力图,603912,7.73,8.31,7.66,8.11,93515,158220399.0,18.05
2018-07-17,佳力图,603912,7.94,8.04,7.79,8.0,63074,105099054.0,12.18
2018-07-18,佳力图,603912,8.02,8.06,7.7,7.73,45771,75741267.0,8.84
2018-07-19,佳力图,603912,7.7,7.81,7.44,7.56,36416,58223492.0,7.03
2018-07-20,佳力图,603912,7.53,7.73,7.47,7.7,35616,57309955.0,6.88
2018-07-23,佳力图,603912,7.7,7.8,7.58,7.78,30211,49042434.0,5.83
2018-07-24,佳力图,603912,7.78,7.89,7.62,7.84,45383,74357273.0,8.76
