date,name,code,open,high,low,close,volume,turnover,turnover_rate
2010-01-06,得利斯,002330,10.31,11.8,10.31,11.8,417762,931202599.97,82.89
2010-01-07,得利斯,002330,11.35,12.49,11.34,12.06,335518,809869380.91,66.57
2010-01-08,得利斯,002330,11.6,11.78,10.84,10.84,194928,438847296.24,38.68
2010-01-11,得利斯,002330,10.56,11.16,10.07,10.84,127204,275515503.73,25.24
2010-01-12,得利斯,002330,10.57,11.1,10.47,10.91,102665,227310388.87,20.37
2010-01-13,得利斯,002330,10.64,11.06,10.56,10.61,74131,162738756.52,14.71
2010-01-14,得利斯,002330,10.75,11.06,10.62,10.95,69268,153357144.99,13.74
2010-01-15,得利斯,002330,10.92,11.06,10.74,10.83,61685,136536021.22,12.24
2010-01-18,得利斯,002330,10.76,10.76,10.5,10.63,59510,128576831.07,11.81
2010-01-19,得利斯,002330,10.66,10.71,10.46,10.7,45071,97210976.19,8.94
2010-01-20,得利斯,002330,10.7,10.71,9.91,9.91,63572,132808027.29,12.61
2010-01-21,得利斯,002330,9.96,10.15,9.89,10.06,37247,75893684.68,7.39
2010-01-22,得利斯,002330,9.95,9.95,9.15,9.37,46758,90831208.88,9.28
2010-01-25,得利斯,002330,9.33,9.45,9.12,9.15,21415,40541498.54,4.25
2010-01-26,得利斯,002330,9.2,9.31,8.71,8.76,27481,49987201.51,5.45
2010-01-27,得利斯,002330,8.79,8.95,8.57,8.68,21566,38477428.84,4.28
2010-01-28,得利斯,002330,8.68,8.77,8.57,8.73,17731,31434390.68,3.52
2010-01-29,得利斯,002330,8.69,8.84,8.62,8.77,23768,42528244.8,4.72
2010-02-01,得利斯,002330,8.7,8.76,8.16,8.16,30077,51430231.65,5.97
2010-02-02,得利斯,002330,8.22,8.39,8.02,8.05,23979,40377513.59,4.76
2010-02-03,得利斯,002330,8.02,8.26,7.64,8.25,32939,53579287.66,6.54
2010-02-04,得利斯,002330,8.11,8.37,7.97,8.16,28223,47203695.93,5.6
2010-02-05,得利斯,002330,7.95,7.99,7.75,7.81,25853,41618725.07,5.13
2010-02-08,得利斯,002330,7.81,8.35,7.81,8.26,39858,66727942.13,7.91
2010-02-09,得利斯,002330,8.21,8.29,8.07,8.24,22672,37979399.91,4.5
2010-02-10,得利斯,002330,8.26,8.41,8.22,8.37,18982,32304318.11,3.77
2010-02-11,得利斯,002330,8.41,8.41,8.21,8.24,14195,24015690.27,2.82
